avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/3c/3c04858ec878e2f18e4cb670e0b14b6895f653e5_full.jpg,5255.0,False,,371.0,,6230,,COKECOKE,https://steamcommunity.com/id/cokecokecokecoke/,6068.0,141278621
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/40/40057eaabcd11d04161fb74d372763daaa27b1d7_full.jpg,6280.0,False,,139.0,CN,6432,,youc,https://steamcommunity.com/id/youc/,7513.0,136353896
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/64/648f42c33c04640add665e6b73c7848257b43283_full.jpg,4274.0,False,,483.0,CN,6239,,洪世贤,https://steamcommunity.com/profiles/76561198095454088/,6446.0,135188360
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a0/a0768a5df9a10b8c2cf783d31ca9d934ebefef77_full.jpg,3733.0,False,,1560.0,,5602,,把分还我我不玩了,https://steamcommunity.com/profiles/76561198139825472/,5853.0,179559744
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/cd/cd89cb81496b04c57ab87cf4de00c4274499055d_full.jpg,,False,,,,5658,,Coconut,https://steamcommunity.com/id/miuji7/,,126271070
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/3f/3f34ff589cee014e5c71d451d300bd1d1dd904ce_full.jpg,,False,,500.0,CA,5481,,黄石公,https://steamcommunity.com/id/longdd520/,,90892194
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6a/6a3c4d01e456be4da3530bcf092ab3782f265433_full.jpg,,False,,1601.0,,5696,,废柴！,https://steamcommunity.com/profiles/76561198069346783/,,109081055
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/55/5551c10c4b3ca7885a4a2b9c6466e8517c21174d_full.jpg,,False,,248.0,,5801,,姜太公,https://steamcommunity.com/profiles/76561198050310737/,,90045009
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/63d2413a6aa64bee2e8bf40c2f3dec79d9bd07df_full.jpg,,False,,79.0,,6734,,周公瑾,https://steamcommunity.com/profiles/76561198050403391/,8064.0,90137663
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/28/28ddd27975496c7f2d8b6fbc063b4f354dc3223e_full.jpg,,False,,101.0,BZ,6781,Waixi,finety,https://steamcommunity.com/profiles/76561198096841331/,7903.0,136575603
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/43/434ba30dffbe6ccd5bedadc031df8cc7061bf122_full.jpg,,False,,15.0,,6827,Sccc,烈烈风中丶,https://steamcommunity.com/profiles/76561198109752622/,8864.0,149486894
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/18/1807a17f125f6f54c0b1016d65f9cff7ddd71fb3_full.jpg,,False,,37.0,CN,6667,剑来！,红棉袄,https://steamcommunity.com/profiles/76561198071455445/,7143.0,111189717
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/63c55945cab72865d43827c7fb6a1518b99b9b13_full.jpg,,False,,,,4332,,snowflake,https://steamcommunity.com/profiles/76561198067812163/,4395.0,107546435
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/bf/bf7fb10315c14f915fb25710fce5b458b5fe658c_full.jpg,4341.0,False,,3000.0,CN,4817,,日个天不过分吧,https://steamcommunity.com/id/zzddota/,4950.0,140642656
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fe5d38ebd3328ccd02b08cb3fde870871ed61917_full.jpg,3575.0,False,,,CN,4565,,Milya,https://steamcommunity.com/profiles/76561198243259414/,4975.0,282993686
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ba/baee3b1a8a0ddd04f283d6299860a8a33ceb95f4_full.jpg,3947.0,False,,,CN,4241,,Callme定义,https://steamcommunity.com/profiles/76561198131718259/,4128.0,171452531
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/be/bec4837e20dfe60991eb09c73e7ff1977faa0a3e_full.jpg,,False,,70.0,,6153,,Fe₃O₄,https://steamcommunity.com/profiles/76561198165405484/,,205139756
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/96/964ceadf461a4e010c9974dfd80e9d97f3ed65a9_full.jpg,,False,,58.0,CN,6531,,刷钱,https://steamcommunity.com/profiles/76561198274010292/,7061.0,313744564
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/56/561134f6134c6e742ff777689c199ec183198fce_full.jpg,4643.0,False,,204.0,,5987,,give me 1 sec,https://steamcommunity.com/profiles/76561198210101321/,6005.0,249835593
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ac/ac79f183563c0571a35da77c720f24697caad14c_full.jpg,5504.0,False,,169.0,,5962,,TCH.,https://steamcommunity.com/profiles/76561198160302931/,6423.0,200037203
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/20/20f4668da44ca39ccd50eba78d1439ce9b930221_full.jpg,5185.0,False,,524.0,CN,6304,ez mhmnz,Fov,https://steamcommunity.com/id/zexbingo/,7368.0,93289364
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a0/a0463de532dfcefe9414e59ef23803189712eb06_full.jpg,4219.0,False,,267.0,,6037,,江东盛丶,https://steamcommunity.com/profiles/76561198306551545/,5873.0,346285817
